pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
91.29636500000035,13H 37M 38S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49058,Wed,Mar,03,2021,86,133,56,534,77,91,57,540,ECOV2-B00206,596,135,56,29823,135,162,60,29710,162,125,56,29325,125,299,67,29932,299,13.82,03 Mar 2021
91.91138100000042,13H 37M 39S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49059,Wed,Mar,03,2021,88,134,56,534,78,86,57,540,ECOV2-B00206,597,131,55,29819,131,162,59,29714,162,127,56,29324,127,302,67,29930,302,13.82,03 Mar 2021
93.22540700000036,13H 37M 41S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49061,Wed,Mar,03,2021,106,124,56,534,72,84,NA,NA,ECOV2-B00206,599,118,56,29815,118,163,59,29700,163,104,53,29318,104,302,68,29939,302,13.82,03 Mar 2021
93.71373600000027,13H 37M 42S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49062,Wed,Mar,03,2021,80,122,56,534,72,85,57,540,ECOV2-B00206,600,111,55,29817,111,155,58,29700,155,106,54,29317,106,301,68,29926,301,13.82,03 Mar 2021
94.20788600000036,13H 37M 43S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49063,Wed,Mar,03,2021,81,124,57,534,76,88,55,540,ECOV2-B00206,601,119,54,29816,119,175,59,29694,175,104,54,29306,104,297,68,29931,297,13.83,03 Mar 2021
94.86922900000047,13H 37M 44S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49064,Wed,Mar,03,2021,81,126,56,534,77,83,55,540,ECOV2-B00206,602,113,53,29809,113,149,58,29688,149,112,54,29314,112,303,68,29921,303,13.82,03 Mar 2021
95.50725600000034,13H 37M 45S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49065,Wed,Mar,03,2021,83,119,57,534,75,85,53,540,ECOV2-B00206,603,113,53,29808,113,152,59,29685,152,116,53,29316,116,302,68,29929,302,13.83,03 Mar 2021
95.9301990000002,13H 37M 46S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49066,Wed,Mar,03,2021,80,NA,NA,NA,NA,NA,NA,NA,ECOV2-B00206,604,108,53,29803,108,152,58,29696,152,105,53,29304,105,301,68,29912,301,13.82,03 Mar 2021
96.39403700000038,13H 37M 47S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49067,Wed,Mar,03,2021,79,123,56,534,79,80,58,540,ECOV2-B00206,605,103,52,29809,103,147,57,29683,147,102,52,29296,102,301,67,29922,301,13.82,03 Mar 2021
97.09211100000051,13H 37M 48S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49068,Wed,Mar,03,2021,78,120,57,534,74,75,53,540,ECOV2-B00206,606,105,52,29804,105,147,58,29693,147,106,53,29304,106,302,68,29919,302,13.81,03 Mar 2021
98.17795500000022,13H 38M -10S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49070,Wed,Mar,03,2021,78,121,57,534,78,85,51,540,ECOV2-B00206,608,105,55,29802,105,168,60,29691,168,103,52,29288,103,302,68,29923,302,13.82,03 Mar 2021
