pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
233.57782700000038,9H 29M 50S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34190,Thu,Mar,04,2021,49,109,57,535,62,52,53,ECOV2-B00206,1081,63,51,29179,63,111,53,29241,111,59,50,28410,59,328,71,29300,328,13.83,04 Mar 2021
234.1903560000004,9H 29M 51S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34191,Thu,Mar,04,2021,51,98,57,535,63,52,53,ECOV2-B00206,1082,62,51,29180,62,112,54,29232,112,59,50,28417,59,329,71,29308,329,13.84,04 Mar 2021
234.85136400000044,9H 29M 52S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34192,Thu,Mar,04,2021,50,93,57,535,63,56,53,ECOV2-B00206,1083,62,51,29178,62,113,53,29229,113,62,50,28409,62,329,71,29313,329,13.83,04 Mar 2021
235.53432200000043,9H 29M 53S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34193,Thu,Mar,04,2021,50,95,56,535,64,53,5,ECOV2-B00206,1084,61,50,29178,61,108,54,29228,108,60,50,28399,60,328,70,29305,328,13.83,04 Mar 2021
236.15328100000036,9H 29M 54S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34194,Thu,Mar,04,2021,50,94,57,535,NA,NA,NA,ECOV2-B00206,1085,63,51,29178,63,112,54,29229,112,60,50,28403,60,330,71,29303,330,13.83,04 Mar 2021
236.68406300000032,9H 29M 55S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34195,Thu,Mar,04,2021,50,93,57,535,61,52,54,ECOV2-B00206,1086,63,51,29177,63,110,54,29235,110,59,50,28406,59,330,71,29310,330,13.82,04 Mar 2021
238.01064000000054,9H 29M 57S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34197,Thu,Mar,04,2021,49,98,57,535,65,54,51,ECOV2-B00206,1088,62,51,29178,62,125,55,29235,125,59,50,28410,59,328,72,29306,328,13.82,04 Mar 2021
238.79280900000046,9H 29M 58S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34198,Thu,Mar,04,2021,52,95,57,535,61,52,53,ECOV2-B00206,1089,63,51,29178,63,108,52,29230,108,61,50,28400,61,331,72,29302,331,13.83,04 Mar 2021
239.36290400000027,9H 29M 59S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34199,Thu,Mar,04,2021,50,93,56,535,63,52,55,ECOV2-B00206,1090,65,50,2917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
239.77804700000027,9H 30M 0S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34200,Thu,Mar,04,2021,47,93,57,535,57,51,54,ECOV2-B00206,1091,62,51,29173,62,113,54,29235,113,58,50,28401,58,329,71,29310,329,13.83,04 Mar 2021
