pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,frame,frale_syn,sn,counter,counter_down,v_main,q_asummary,numerici_qa,hex_qa,beta700_wave,chl_lo_gain,chl_5_volt,chl_ltc,chl_raw,chl_micro_l,chl_hi_gain,chl_em_wave,chl_lo_gain_2,chl_5_volt_2,chl_ltc_2,chl_raw_2,chl_micro_l_2,chl_hi_gain_2,chl_em_wave_2,fdom_lo_gain,chl_5_volt_3,date,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,day,month,year
172.545,13H 31M 37.4789999999994S,13.8513,4.565914,2.3859,0.1409,1.7806268,13.828527,13.8258,38.5705,28.9873,3.5532,154.218,0,48697.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
171.478,13H 31M 38.4789999999994S,13.8519,4.565866,2.3868,0.1462,1.7796602,13.829894,13.8265,38.5699,28.9867,3.5554,154.311,0,48698.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
170.47,13H 31M 39.4789999999994S,13.8535,4.565854,2.3873,0.1543,1.7794567,13.831943,13.8283,38.568600000000004,28.9853,3.5579,154.419,0,48699.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
169.073,13H 31M 40.4789999999994S,13.8533,4.565734,2.3903,0.1502,1.7787444,13.828527,13.8283,38.5683,28.9851,3.5699,154.941,0,48700.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
167.701,13H 31M 41.4789999999994S,13.8501,4.564609,2.3933,0.1588,1.7784901,13.830577,13.8253,38.5615,28.9804,3.5711,154.992,0,48701.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
166.621,13H 31M 42.4789999999994S,13.8507,4.564971,2.3947,0.1555,1.7779813,13.830577,13.826,38.5648,28.9829,3.5722,155.039,0,48702.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
165.415,13H 31M 43.4789999999994S,13.85,4.564715,2.3965,0.1627,1.7771673,13.828527,13.8255,38.5637,28.9821,3.5791,155.34,0,48703.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
164.376,13H 31M 44.4789999999994S,13.8486,4.56417,2.3999,0.1442,1.7758446,13.82921,13.8243,38.5603,28.9798,3.5877,155.715,0,48704.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
163.659,13H 31M 45.4789999999994S,13.8472,4.56364,2.4031,0.1437,1.7745727,13.82921,13.823,38.557,28.9775,3.595,156.031,0,48705.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
162.313,13H 31M 46.4789999999994S,13.8457,4.563026,2.4066,0.1563,1.7738604,13.827844,13.8217,38.5533,28.9749,3.5977,156.151,0,48706.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
