date,bouss,depth,fluo_440,fluo_470,fluo_532,f440_f470,f532_f470,bb700,cdom,chl_c1_c2,chl_c3,peri,but,fuco,neox,prasi,viola,hex,diad,allo,diat,zea,lutein,dv_chlb,chlb,t_chlb,dv_chla,chla,t_chla,sumpig,cp,CA1,CA2,CA3,f532_f440,cluster
2021-05-14,230,70,62,52.5,53.5,1.180952380952381,1.019047619047619,88,55.5,0.0086,0.0111,0,0.0169,0.0234,0,5e-4,0,0.0077,0.0018,6e-4,0,0.0012,0,0,0.0022,0.0022,0,0.0649,0.0649,0.1389,0.06162,0.49626657557004655,-0.5835285982565542,0.39562107316169864,0.8629032258064516,2
2021-05-14,230,60,71.3,71.45,55.95,0.9979006298110566,0.7830650804758572,93.05263157894736,57.05555555555556,0.0224,0.0272,0,0.0433,0.0422,0.001,0.0016,5e-4,0.0234,0.0042,0.001,0,0.0022,0,0,0.0071,0.0071,0,0.1536,0.1536,0.3297,0.07152,0.33601955380953114,-0.5252930664909774,-0.26079856378224253,0.7847124824684433,2
2021-05-14,230,50,113.13333333333334,128.13333333333333,59.53333333333333,0.8829344432882416,0.46462018730489074,138.07692307692307,92.92307692307692,0.0641,0.0784,0,0.0743,0.1582,0.0022,0.0042,0.0012,0.0652,0.0116,0,0,0.0089,0,0,0.0181,0.0181,0,0.4384,0.4384,0.9248,0.14634,0.5770419430492554,-0.5789272255764734,0.5342225248847432,0.5262227460223924,2
2021-05-14,230,40,239,299,72,0.7993311036789298,0.2408026755852843,172,56,0.3195,0.2079,0.0172,0.0654,0.7221,0,0.0157,0.0029,0.4431,0.0566,0.0149,0,0.0555,0,0,0.0387,0.0387,0,1.6704,1.7032,3.6627,0.395505,0.8278947790638947,-0.530192220428547,1.043460431434436,0.301255230125523,2
2021-05-14,230,30,254.5,316.61538461538464,77.15384615384616,0.8038143828960155,0.2436831875607386,198.53846153846155,57.38461538461539,0.2245,0.1326,0.0129,0.0674,0.5239,0,0.0061,0.0029,0.31,0.0736,0.0126,0.0139,0.09,0.0021,0.0018,0.0177,0.0195,0,1.2163,1.2401,2.7321,0.38864,0.7250278530793323,-0.20601044869170415,1.1897073804539264,0.30315853105637,2
2021-05-14,230,20,86.72727272727273,89.0909090909091,55.18181818181818,0.973469387755102,0.6193877551020408,161.4,54.4,0.0558,0.0295,0.0058,0.0264,0.0899,0,0.0016,0.0015,0.099,0.0373,0.0071,0.006,0.0315,0.0012,0,0.0087,0.0087,0,0.3525,0.366,0.7673,0.262605,0.4880382236958814,0.20766977712200077,0.3420677303056524,0.6362683438155136,2
2021-05-14,230,10,75.05882352941177,76.29411764705883,55.588235294117645,0.9838087895142636,0.7286044718581342,159.875,56.9375,0.022,0.0109,0.0028,0.0139,0.0252,9e-4,7e-4,0.001,0.0529,0.0291,0.0049,0.0047,0.0194,9e-4,0,0.0053,0.0053,0,0.1826,0.187,0.3816,0.241955,0.316529687750189,0.5966695452765572,-0.15095647605302653,0.7405956112852664,1
2021-05-14,230,5,86.95454545454545,87.36363636363636,77.36363636363636,0.9953173777315296,0.8855359001040582,145.8,56.6,0.0215,0.0102,0.0026,0.0134,0.0225,0,0.001,0.001,0.0531,0.0302,0.0071,0.0056,0.0202,8e-4,0,0.0049,0.0049,0,0.1846,0.1888,0.3829,0.24265,0.31712110154562345,0.6798369278465816,-0.1291391203671704,0.8897020386826973,1
2021-06-11,231,80,140.8,157.6,151.4,0.8934010152284265,0.9606598984771574,103.6,55.4,0.0076,0.0133,0,0.0183,0.0162,0,0,0,0.0233,0.002,0,0,5e-4,0,0,0.0033,0.0033,0,0.0659,0.0659,0.1504,999.9944,0.25022229117191136,-0.6047401922617404,-1.0446624864996856,1.0752840909090908,2
2021-06-11,231,70,83.42307692307692,92.96153846153848,74.56,0.8973934629706246,0.8020521307405875,106.5,56.07692307692308,0.0207,0.0272,0.0011,0.0451,0.0338,0,0.001,0,0.0371,0.0042,0,0,0.001,0,0.0011,0.0063,0.0073,0,0.1357,0.1357,0.3142,999.9944,0.16354736718841978,-0.6579091476837554,-0.824508946101627,0.8937574919317659,2
2021-06-11,231,60,93,101.33333333333331,57.333333333333336,0.9177631578947368,0.5657894736842106,122.66666666666669,55,0.0465,0.0523,0.0024,0.0567,0.112,0.0012,0.0029,0.0023,0.0512,0.0082,0.0042,0,0.0023,0,0,0.0139,0.0139,0,0.2945,0.2945,0.6506,999.9944,0.596607498076508,-0.672736040017845,0.375513367741461,0.6164874551971327,2
2021-06-11,231,50,291.6666666666667,364,76.33333333333333,0.8012820512820513,0.20970695970695968,183.66666666666663,56.333333333333336,0.2903,0.2368,0.0096,0.2538,0.3621,0.0174,0.0272,0.0094,0.4723,0.0478,0.0448,0,0.0384,0.0048,0,0.1593,0.1593,0,1.6303,1.6303,3.6043,999.9944,0.3294782762260098,-0.3438718053797718,-0.6619265967664117,0.2617142857142857,2
2021-06-11,231,40,177,214,66.25,0.8271028037383178,0.30957943925233644,188.7391304347826,57.869565217391305,0.121,0.0685,0.0083,0.0927,0.0533,0.0074,0.0073,0.0106,0.2497,0.0277,0.0252,0.0027,0.105,0.0035,0,0.072,0.072,0,0.7231,0.7231,1.578,999.9944,-0.0975425708428991,0.7270168637921104,-0.9478220528202792,0.3742937853107345,1
2021-06-11,231,30,75.86666666666666,76.06666666666666,55.8,0.9973707274320772,0.733567046450482,164.71428571428572,56.214285714285715,0.0222,0.0109,0.0044,0.0128,0.022,0.0024,0,0.0047,0.0526,0.0134,0.0056,0.0024,0.088,0.0031,0,0.0233,0.0233,0,0.2491,0.2491,0.5169,999.9944,-0.4666896681015167,2.391890186154955,0.5491697594140088,0.7355008787346222,1
2021-06-11,231,20,118.57142857142856,125,123.28571428571428,0.9485714285714284,0.9862857142857144,163.16666666666666,55,0.0121,0.0044,0.0049,0.0048,0.0158,0.0013,0,0.0019,0.0298,0.0169,0.0011,0.0036,0.0422,0.0019,8e-4,0.0132,0.014,0,0.1369,0.1369,0.29159999999999997,999.9944,-0.29774236698805134,2.0056813206667328,0.5412427192324607,1.0397590361445783,1
2021-06-11,231,10,57.75,55.285714285714285,53.7037037037037,1.0445736434108528,0.9713848215140204,146.53846153846155,51.96153846153846,0.0101,0.0039,0.0035,0.0042,0.0094,9e-4,0,0.0013,0.0302,0.0183,8e-4,0.0047,0.022,0.001,0,0.0079,0.0079,0,0.1048,0.1048,0.223,999.9944,-7.611673362796657e-4,1.4341516067791713,-0.14459279871032263,0.9299342632675965,1
2021-06-11,231,5,56,53.13333333333333,54.2,1.053952321204517,1.0200752823086576,151.5,50.125,0.0095,0.0038,0.003,0.0047,0.0064,0,0,7e-4,0.0306,0.0205,0.0016,0.0087,0.0144,6e-4,0,0.0038,0.0038,0,0.0991,0.0991,0.2074,999.9944,0.2085010492295358,1.1568879449062317,-0.3430574627979673,0.9678571428571429,1
2021-07-12,232,80,51.65384615384615,51.80769230769231,54.76923076923077,0.9970304380103936,1.0571640682999257,94.73076923076924,56.23076923076923,0.014,0.0202,0,0.0325,0.0295,0,0,8e-4,0.024,0.0031,0,0,0.0013,0,8e-4,0.0064,0.0072,0,0.1073,0.1073,0.2399,0.0832233333333333,0.20524433148795337,-0.6197316192356058,-0.5236604587438315,1.060312732688012,2
2021-07-12,232,70,59.5945945945946,64.43243243243244,54.08108108108108,0.9249161073825504,0.8393456375838926,115.24324324324324,55.86486486486486,0.0177,0.0293,0.0012,0.039,0.0335,9e-4,0.0016,0.001,0.0473,0.0045,0,0,0.0019,0,0.0013,0.0095,0.0108,0,0.1425,0.1425,0.3312,0.09106,0.1367647415930869,-0.598899411492995,-0.9612440470009656,0.9074829931972789,2
2021-07-12,232,60,68.92753623188406,78.3768115942029,55.6231884057971,0.8794378698224852,0.709689349112426,130.81159420289856,55.91304347826087,0.0377,0.051,0.0048,0.0502,0.0832,0.0035,0.0048,0.0019,0.0781,0.0082,0.0026,0,0.0066,0,0.0044,0.0295,0.0339,0.0079,0.2911,0.2991,0.6656,0.115226666666667,0.06927896238124599,-0.6077874196039581,-0.3228480183729695,0.8069806560134566,2
