pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
182.554,13H 56M 50.4789999999994S,13.8502,4.574871,2.5149,0.1681,1.7901404,13.844243,13.8231,38.6522,29.0511,3.7727,163.732,0,50210.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
183.206,13H 56M 51.4789999999994S,13.8501,4.574925,2.513,0.1568,1.7909035,13.844926,13.823,38.6524,29.0513,3.7673,163.496,0,50211.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
183.734,13H 56M 52.4789999999994S,13.849,4.574817,2.5104,0.1541,1.7912088,13.844243,13.8218,38.6523,29.0516,3.7621000000000002,163.272,0,50212.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
184.125,13H 56M 53.4789999999994S,13.8477,4.574692,2.5093,0.1662,1.7913614,13.842876,13.8204,38.6522,29.0518,3.7699,163.611,0,50213.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
184.737,13H 56M 54.4789999999994S,13.8466,4.574593,2.5119,0.1607,1.7916667,13.840826,13.8192,38.6521,29.052,3.7837,164.208,0,50214.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
185.465,13H 56M 55.4789999999994S,13.8453,4.574485,2.5143,0.1664,1.7916667,13.838776,13.8178,38.652,29.0522,3.7787,163.992,0,50215.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
185.882,13H 56M 56.4789999999994S,13.8434,4.574301,2.5122,0.1699,1.7922263,13.842193,13.8159,38.6521,29.0526,3.7627,163.296,0,50216.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
186.272,13H 56M 57.4789999999994S,13.8436,4.574316,2.5077,0.171,1.7921246,13.840143,13.816,38.6519,29.0524,3.7556,162.992,0,50217.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
186.891,13H 56M 58.4789999999994S,13.8407,4.574009,2.5071,0.1724,1.7923789,13.83946,13.813,38.6516,29.0529,3.7703,163.628,0,50218.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
187.63,13H 56M 59.4789999999994S,13.8383,4.57375,2.5099,0.1724,1.7924298,13.832627,13.8105,38.6512,29.0531,3.7784,163.978,0,50219.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
188.147,13H 57M 0.47899999999936S,13.8374,4.573699,2.5115,0.1702,1.7928368,13.838776,13.8096,38.6513,29.0534,3.7799,164.045,0,50220.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
188.548,13H 57M 1.47899999999936S,13.8382,4.573814,2.5126,0.1623,1.7928877,13.836043,13.8103,38.6515,29.0534,3.7763,163.888,0,50221.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
189.155,13H 57M 2.47899999999936S,13.8374,4.573784,2.511,0.1646,1.7930403,13.832627,13.8094,38.6518,29.0538,3.7684,163.544,0,50222.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
189.705,13H 57M 3.47899999999936S,13.8354,4.573574,2.51,0.1604,1.7929386,13.832627,13.8073,38.6515,29.0541,3.772,163.701,0,50223.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
190.309,13H 57M 4.47899999999936S,13.8337,4.573409,2.5101,0.1648,1.7929386,13.82921,13.8055,38.6514,29.0544,3.7726,163.729,0,50224.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
190.977,13H 57M 5.47899999999936S,13.8334,4.573409,2.5101,0.1637,1.7935491,13.828527,13.8051,38.6514,29.0545,3.7716,163.682,0,50225.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
191.444,13H 57M 6.47899999999936S,13.8322,4.573297,2.5083,0.1577,1.7936508,13.831943,13.8038,38.6514,29.0547,3.7638,163.344,0,50226.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
191.913,13H 57M 7.47899999999936S,13.8317,4.573311,2.5067,0.1717,1.7935491,13.82921,13.8033,38.6517,29.0551,3.7614,163.241,0,50227.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
192.516,13H 57M 8.47899999999936S,13.8323,4.573446,2.5047,0.1831,1.7936508,13.827844,13.8038,38.6522,29.0553,3.7571,163.053,0,50228.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
