pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,fluo_flbb,bb700,cdom,echov1,date,fluo_440,fluo_470,fluo_532,echo3x,day,month,year
42.282,11H 18M 22.4789999999994S,13.7579,4.534461,3.1811,2.128,1.592033,13.74857,13.7517,38.4246,28.8902,5.0526,219.313,0,40702.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.387,11H 18M 23.4789999999994S,13.7569,4.534376,3.1802,2.0957,1.5919312,13.74857,13.7507,38.4247,28.8905,5.0571,219.51,0,40703.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.22,11H 18M 24.4789999999994S,13.7577,4.534454,3.1817,2.087,1.5916769,13.75062,13.7515,38.4247,28.8903,5.062,219.721,0,40704.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.017,11H 18M 25.4789999999994S,13.7592,4.534575,3.1826,2.085,1.5915242,13.749936,13.753,38.4244,28.8898,5.0624,219.739,0,40705.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.136,11H 18M 26.4789999999994S,13.7597,4.534619,3.1832,2.1073,1.5917786,13.75062,13.7535,38.4244,28.8896,5.062,219.722,0,40706.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.334,11H 18M 27.4789999999994S,13.7587,4.534546,3.1832,2.1078,1.5915242,13.748569,13.7525,38.4245,28.89,5.0602,219.642,0,40707.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.23,11H 18M 28.4789999999994S,13.7586,4.534535,3.1825,2.0948,1.5918295,13.749936,13.7524,38.4245,28.89,5.0581,219.552,0,40708.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.169,11H 18M 29.4789999999994S,13.7592,4.534587,3.1823,2.0872,1.5916769,13.751987,13.753,38.4245,28.8898,5.059,219.589,0,40709.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.285,11H 18M 30.4789999999994S,13.7591,4.534583,3.1827,2.1061,1.5918295,13.749936,13.7529,38.4245,28.8899,5.0603,219.648,0,40710.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.149,11H 18M 31.4789999999994S,13.7594,4.534607,3.182,2.1209,1.5917786,13.74857,13.7532,38.4245,28.8898,5.0571,219.507,0,40711.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.104,11H 18M 32.4789999999994S,13.7598,4.534634,3.1823,2.1206,1.5917786,13.749253,13.7536,38.4244,28.8896,5.0619,219.717,0,40712.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.263,11H 18M 33.4789999999994S,13.759,4.534573,3.1831,2.0999,1.5919312,13.749253,13.7528,38.4245,28.8899,5.0606,219.659,0,40713.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.2,11H 18M 34.4789999999994S,13.759,4.534571,3.1826,2.099,1.5916769,13.752671,13.7528,38.4246,28.89,5.0612,219.687,0,40714.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.222,11H 18M 35.4789999999994S,13.7589,4.534556,3.1837,2.1061,1.5916769,13.74857,13.7527,38.4245,28.8899,5.066,219.896,0,40715.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.192,11H 18M 36.4789999999994S,13.7588,4.534545,3.1851,2.1076,1.5916769,13.75062,13.7526,38.4245,28.89,5.0651,219.856,0,40716.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.114,11H 18M 37.4789999999994S,13.7594,4.534596,3.1832,2.1209,1.5914734,13.75062,13.7532,38.4244,28.8897,5.0582,219.558,0,40717.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
