date	lon	lat	pressure	Wt	Wpt	sal	gamma	oxygen.1	oxygen.2	fluo.r	c
20210514161700	7.90661666666667	43.3753333333333	105	13.7342	13.7188	38.5862	29.0225	3.4984	151.831	0.1702	0.0568
20210514161700	7.90661666666667	43.3753333333333	106	13.7365	13.7209	38.587	29.0227	3.4966	151.752	0.167	0.0569
20210514161700	7.90661666666667	43.3753333333333	107	13.7394	13.7236	38.5881	29.0229	3.4915	151.533	0.1655	0.0574
20210514161700	7.90661666666667	43.3753333333333	108	13.7416	13.7258	38.5892	29.0233	3.4827	151.15	0.1769	0.0571
20210514161700	7.90661666666667	43.3753333333333	109	13.7432	13.7271	38.5903	29.0239	3.4856	151.279	0.1784	0.0569
20210514161700	7.90661666666667	43.3753333333333	110	13.7377	13.7215	38.5905	29.0252	3.4891	151.426	0.1735	0.0573
20210514161700	7.90661666666667	43.3753333333333	111	13.7364	13.7201	38.5906	29.0256	3.4863	151.306	0.1646	0.0573
20210514161700	7.90661666666667	43.3753333333333	112	13.7366	13.7201	38.5908	29.0258	3.4851	151.252	0.1653	0.057
20210514161700	7.90661666666667	43.3753333333333	113	13.7393	13.7226	38.5922	29.0263	3.4806	151.059	0.1714	0.0568
20210514161700	7.90661666666667	43.3753333333333	114	13.7414	13.7246	38.593	29.0265	3.4809	151.072	0.182	0.057
20210514161700	7.90661666666667	43.3753333333333	115	13.7418	13.7249	38.5934	29.0268	3.4834	151.182	0.1823	0.0567
20210514161700	7.90661666666667	43.3753333333333	116	13.7427	13.7256	38.5935	29.0267	3.4777	150.932	0.1808	0.0572
20210514161700	7.90661666666667	43.3753333333333	117	13.7431	13.7259	38.5932	29.0264	3.4696	150.581	0.1855	0.0574
20210514161700	7.90661666666667	43.3753333333333	118	13.7504	13.7331	38.5977	29.0283	3.4603	150.177	0.1862	0.0565
20210514161700	7.90661666666667	43.3753333333333	119	13.7787	13.7611	38.6061	29.0288	3.4477	149.631	0.1744	0.0572
20210514161700	7.90661666666667	43.3753333333333	120	13.7997	13.782	38.6135	29.03	3.4344	149.051	0.1549	0.0572
20210514161700	7.90661666666667	43.3753333333333	121	13.8052	13.7874	38.6149	29.03	3.4261	148.692	0.1591	0.0567
20210514161700	7.90661666666667	43.3753333333333	122	13.8477	13.8297	38.6312	29.0335	3.3991	147.52	0.1678	0.0569
20210514161700	7.90661666666667	43.3753333333333	123	13.8768	13.8585	38.6388	29.0331	3.394	147.301	0.1717	0.0571
20210514161700	7.90661666666667	43.3753333333333	124	13.9095	13.8911	38.6512	29.0357	3.3774	146.579	0.169	0.0571
20210514161700	7.90661666666667	43.3753333333333	125	13.954	13.9354	38.6631	29.0353	3.3673	146.141	0.1701	0.0575
20210514161700	7.90661666666667	43.3753333333333	126	13.9647	13.946	38.6664	29.0356	3.364	145.997	0.1718	0.059
20210514161700	7.90661666666667	43.3753333333333	127	14.0037	13.9848	38.6856	29.0421	3.3515	145.454	0.1784	0.0601
20210514161700	7.90661666666667	43.3753333333333	128	14.0202	14.0011	38.6863	29.039	3.3453	145.185	0.1802	0.0625
20210514161700	7.90661666666667	43.3753333333333	129	14.0215	14.0023	38.6861	29.0387	3.3457	145.204	0.1879	0.0626
20210514161700	7.90661666666667	43.3753333333333	130	14.0207	14.0013	38.6857	29.0386	3.3439	145.126	0.1729	0.0642
20210514161700	7.90661666666667	43.3753333333333	131	14.0198	14.0003	38.6855	29.0386	3.3411	145.001	0.1647	0.0647
20210514161700	7.90661666666667	43.3753333333333	132	14.0187	13.999	38.685	29.0385	3.3448	145.163	0.1724	0.0647
20210514161700	7.90661666666667	43.3753333333333	133	14.0195	13.9997	38.6853	29.0385	3.3467	145.245	0.1663	0.0646
